file,filename,num_tracks,total_notes,programs,tempos,time_signatures,key_signatures,duration_secs
..\..\data\carnking.mid,carnking.mid,2,3499,{0},119.95010075808463,2/4,Eb,488.51666666666665
..\..\data\cascades.mid,cascades.mid,2,2422,{0},88.00002346667293,2/4,C,276.2583333333333
..\..\data\castlehr.mid,castlehr.mid,2,2068,{0},170.3002108884278,4/4,C,588.0166666666667
..\..\data\catnip.mid,catnip.mid,2,1686,{0},180.00018000018,6/8,G,398.0416666666667
..\..\data\chcapers.mid,chcapers.mid,2,1464,{0},89.9999550000225,2/4,F,212.00833333333333
..\..\data\chckrbrd.mid,chckrbrd.mid,2,2704,{0},82.00003553334874,2/4,C,275.0083333333333
..\..\data\chestnut.mid,chestnut.mid,2,1507,{0},96.0,2/4,G,207.34166666666667
..\..\data\chiblues.mid,chiblues.mid,2,1439,{0},69.99998833333528,2/4,F,189.00833333333333
..\..\data\chilisce.mid,chilisce.mid,2,1778,{0},83.99996640001343,2/4,C,235.01666666666668
..\..\data\chillsaf.mid,chillsaf.mid,2,1709,{0},180.64018882921073,4/4,C,475.65833333333336
..\..\data\chimes.mid,chimes.mid,2,1828,{0},96.0,2/4,F,278.0083333333333
..\..\data\chinatwn.mid,chinatwn.mid,2,2230,{0},145.67986364364762,4/4,F,481.625
..\..\data\chmpagne.mid,chmpagne.mid,2,2937,{0},184.65004200788457,4/4,F,928.0083333333333
..\..\data\chrysnth.mid,chrysnth.mid,2,2327,{0},87.00002175000543,2/4,Bb,337.4
..\..\data\chttrbox.mid,chttrbox.mid,2,1486,{0},88.00002346667293,2/4,G,206.00833333333333
..\..\data\circuspr.mid,circuspr.mid,2,3400,{0},180.00018000018,6/8,Eb,639.0083333333333
..\..\data\cleopha.mid,cleopha.mid,2,2242,{0},105.71997949032398,2/4,F,306.01666666666665
..\..\data\climax.mid,climax.mid,2,2407,{0},91.99998773333498,2/4,Ab,298.01666666666665
..\..\data\climbers.mid,climbers.mid,2,2145,{0},91.99998773333498,2/4,Eb,238.00833333333333
..\..\data\clnlglde.mid,clnlglde.mid,2,2496,{0},80.0,2/4,Ab,277.0083333333333
..\..\data\clnnupga.mid,clnnupga.mid,2,1887,{0},104.99992125005906,2/4,F,325.0083333333333
..\..\data\cloverlf.mid,cloverlf.mid,2,2462,{0},89.9999550000225,2/4,C,267.0083333333333
..\..\data\cmpnodos.mid,cmpnodos.mid,2,2429,{0},89.9999550000225,2/4,G,349.0083333333333
..\..\data\cntryclb.mid,cntryclb.mid,2,2534,{0},82.06003512169504,2/4,C,302.55
..\..\data\colesmok.mid,colesmok.mid,2,2440,{0},96.0,2/4,Eb,318.01666666666665
..\..\data\college.mid,college.mid,2,1341,{0},195.000195000195,6/8,F,338.0083333333333
..\..\data\combntnm.mid,combntnm.mid,2,2512,{0},179.89008715674723,4/4,Bb,585.55
..\..\data\conquerm.mid,conquerm.mid,2,3187,{0},240.1296700218118,4/4,Eb,847.0083333333333
..\..\data\cotnbelt.mid,cotnbelt.mid,2,1806,{0},104.99992125005906,2/4,C,240.00833333333333
..\..\data\cottonpa.mid,cottonpa.mid,2,2415,{0},89.9999550000225,2/4,Eb,300.0083333333333
..\..\data\cottontm.mid,cottontm.mid,3,1679,"{0, 112}",94.99999208333399,2/4,C,261.0083333333333
..\..\data\cowperth.mid,cowperth.mid,2,1780,{0},189.77972899454699,6/8,C,452.325
..\..\data\crabappl.mid,crabappl.mid,2,1930,{0},91.99998773333498,2/4,C,271.525
..\..\data\creolebs.mid,creolebs.mid,2,2107,{0},93.99998120000376,2/4,G,308.0083333333333
..\..\data\crimsonr.mid,crimsonr.mid,2,2032,{0},86.00005160003096,2/4,C,300.0083333333333
..\..\data\crushcm.mid,crushcm.mid,2,3394,{0},200.39009271381622,4/4,F,816.0166666666667
..\..\data\cttnblls.mid,cttnblls.mid,2,1908,{0},192.0,4/4,Db,536.0083333333333
..\..\data\cubanola.mid,cubanola.mid,2,2270,{0},90.99995298335763,2/4,C,272.10833333333335
..\..\data\cum-bac.mid,cum-bac.mid,2,2143,{0},102.0000510000255,2/4,C,295.5083333333333
..\..\data\cyclone.mid,cyclone.mid,2,2492,{0},83.99996640001343,2/4,Bb,308.025
..\..\data\dakota.mid,dakota.mid,2,2070,{0},108.1800332112702,2/4,F,324.51666666666665
..\..\data\demonrag.mid,demonrag.mid,2,1972,{0},96.0,2/4,Bb,278.01666666666665
..\..\data\diablo.mid,diablo.mid,2,2459,{0},88.00002346667293,2/4,Eb,260.19166666666666
..\..\data\dillpckl.mid,dillpckl.mid,2,1714,{0},100.0,2/4,G,240.01666666666668
..\..\data\dimples.mid,dimples.mid,2,2557,{0},176.00004693334586,4/4,C,602.0083333333333
..\..\data\dinglpop.mid,dinglpop.mid,2,2271,{0},180.27004452670099,4/4,C,506.51666666666665
..\..\data\dixblsms.mid,dixblsms.mid,2,1962,{0},102.05001471221046,2/4,C,272.51666666666665
..\..\data\dixdmpls.mid,dixdmpls.mid,2,2509,{0},148.000148000148,4/4,C,538.0083333333333
..\..\data\dixegirl.mid,dixegirl.mid,2,1899,{0},94.99999208333399,2/4,Bb,276.0083333333333
